svm__C, myown__num_clusters,mean_validation_score,cv_validation_scores
0.1, 32, 0.369791666667, [ 0.38020833  0.34895833  0.38020833]
1, 32, 0.391493055556, [ 0.40104167  0.359375    0.4140625 ]
10, 32, 0.3671875, [ 0.37760417  0.34635417  0.37760417]
100, 32, 0.375, [ 0.40104167  0.34375     0.38020833]
